digest,producer,creator,producer_folder,class,pre_path,post_path
"QNUOKFLA7NUJSOJ63IZBGJYX2EUW7JI3","Adobe Acrobat 8.12 Paper Capture Plug-in","Xerox DocuMate 262","Adobe Acrobat 8.12 Paper Capture Plug-in","Capture_Scan_Plugins","output/by_producer/Adobe Acrobat 8.12 Paper Capture Plug-in/QNUOKFLA7NUJSOJ63IZBGJYX2EUW7JI3_pre.pdf","output/by_producer/Adobe Acrobat 8.12 Paper Capture Plug-in/QNUOKFLA7NUJSOJ63IZBGJYX2EUW7JI3_post.pdf"
"7QX6IKZ22UTQYM2ZQVUU64G4ZKYSDE2R","Acrobat Distiller 6.0.1 (Windows)","PScript5.dll Version 5.2","Acrobat Distiller 6.0.1 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/7QX6IKZ22UTQYM2ZQVUU64G4ZKYSDE2R_pre.pdf","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/7QX6IKZ22UTQYM2ZQVUU64G4ZKYSDE2R_post.pdf"
"2WE4HZPD57KVPL4RQKCB4PUG42SQ2RMJ","Acrobat Distiller 4.0 for Windows","Adobe PageMaker 6.52","Acrobat Distiller 4.0 for Windows","Acrobat_Distiller","output/by_producer/Acrobat Distiller 4.0 for Windows/2WE4HZPD57KVPL4RQKCB4PUG42SQ2RMJ_pre.pdf","output/by_producer/Acrobat Distiller 4.0 for Windows/2WE4HZPD57KVPL4RQKCB4PUG42SQ2RMJ_post.pdf"
"UETFHQQCDHQCJRPJIH64RZ23U65GG7ZE","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/UETFHQQCDHQCJRPJIH64RZ23U65GG7ZE_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/UETFHQQCDHQCJRPJIH64RZ23U65GG7ZE_post.pdf"
"PKHUWRXW2J4OR3XS2FZVM57DYSAOZG74","Microsoft® Word 2013; modified using iText 5.0.5 (c) 1T3XT BVBA","Microsoft® Word 2013","Microsoft® Word 2013; modified using iText 5.0.5 (c) 1T3XT BVBA","Microsoft_Office","output/by_producer/Microsoft® Word 2013; modified using iText 5.0.5 (c) 1T3XT BVBA/PKHUWRXW2J4OR3XS2FZVM57DYSAOZG74_pre.pdf","output/by_producer/Microsoft® Word 2013; modified using iText 5.0.5 (c) 1T3XT BVBA/PKHUWRXW2J4OR3XS2FZVM57DYSAOZG74_post.pdf"
"HSZJLPQSI6NJU2NBWZWZY2CHBUKDXG2M","GPL Ghostscript 8.64","PScript5.dll Version 5.2","GPL Ghostscript 8.64","Ghostscript","output/by_producer/GPL Ghostscript 8.64/HSZJLPQSI6NJU2NBWZWZY2CHBUKDXG2M_pre.pdf","output/by_producer/GPL Ghostscript 8.64/HSZJLPQSI6NJU2NBWZWZY2CHBUKDXG2M_post.pdf"
"LXBG3TK5X532R47N47TPXOVVTBA4QCDE","GNU Ghostscript 7.07","-","GNU Ghostscript 7.07","Ghostscript","output/by_producer/GNU Ghostscript 7.07/LXBG3TK5X532R47N47TPXOVVTBA4QCDE_pre.pdf","output/by_producer/GNU Ghostscript 7.07/LXBG3TK5X532R47N47TPXOVVTBA4QCDE_post.pdf"
"JI27U7TQTGCH2WWIVTO3GRUAQ2AGBBDH","Acrobat Distiller 7.0.5 (Windows)","Acrobat PDFMaker 7.0.7 for Word","Acrobat Distiller 7.0.5 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/JI27U7TQTGCH2WWIVTO3GRUAQ2AGBBDH_pre.pdf","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/JI27U7TQTGCH2WWIVTO3GRUAQ2AGBBDH_post.pdf"
"LFZ2QRA2LGRXD2XOPAY4WY36PZYT4IJ4","Acrobat Distiller 3.0 for Windows","-","Acrobat Distiller 3.0 for Windows","Acrobat_Distiller","output/by_producer/Acrobat Distiller 3.0 for Windows/LFZ2QRA2LGRXD2XOPAY4WY36PZYT4IJ4_pre.pdf","output/by_producer/Acrobat Distiller 3.0 for Windows/LFZ2QRA2LGRXD2XOPAY4WY36PZYT4IJ4_post.pdf"
"3PILGMQ4BBDRSLAPZCPVAHBNX53K2NUJ","Acrobat Distiller 4.0 for Windows","-","Acrobat Distiller 4.0 for Windows","Acrobat_Distiller","output/by_producer/Acrobat Distiller 4.0 for Windows/3PILGMQ4BBDRSLAPZCPVAHBNX53K2NUJ_pre.pdf","output/by_producer/Acrobat Distiller 4.0 for Windows/3PILGMQ4BBDRSLAPZCPVAHBNX53K2NUJ_post.pdf"
